"Country","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Year"
"Norway",1,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,"0.315963835",2017
"Denmark",2,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,"0.400770068",2017
"Iceland",3,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,"0.153526559",2017
"Switzerland",4,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,"0.367007285",2017
"Finland",5,7.468999863,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,"0.382611543",2017
"Netherlands",6,7.376999855,1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,"0.282661825",2017
"Canada",7,7.315999985,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,"0.287371516",2017
"New Zealand",8,7.31400013,1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,"0.382816702",2017
"Sweden",9,7.28399992,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,"0.384398729",2017
"Australia",10,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,"0.30118373",2017
"Israel",11,7.212999821,1.375382423,1.376289964,0.838404,0.405988604,0.330082655,"0.0852421",2017
"Costa Rica",12,7.078999996,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,"0.100106589",2017
"Austria",13,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,"0.221060365",2017
"United States",14,6.993000031,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,"0.135638788",2017
"Ireland",15,6.977000237,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,"0.298388153",2017
"Germany",16,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,"0.276731938",2017
"Belgium",17,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,"0.251343131",2017
"Luxembourg",18,6.862999916,1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,"0.318834424",2017
"United Kingdom",19,6.714000225,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,"0.265428066",2017
"Chile",20,6.65199995,1.25278461,1.284024954,0.819479704,0.376895279,0.326662421,"0.082287982",2017
"United Arab Emirates",21,6.647999763,1.626343369,1.266410232,0.726798236,0.60834527,0.360941947,"0.324489564",2017
"Brazil",22,6.635000229,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,"0.111092761",2017
"Czech Republic",23,6.609000206,1.352682352,1.433885217,0.754444003,0.490946174,0.088106759,"0.036872927",2017
"Argentina",24,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,"0.059739888",2017
"Mexico",25,6.578000069,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,"0.132774115",2017
"Singapore",26,6.572000027,1.69227767,1.353814363,0.949492395,0.549840569,0.345965981,"0.464307785",2017
"Malta",27,6.52699995,1.343279839,1.488411665,0.821944237,0.588767052,0.574730575,"0.153066069",2017
"Uruguay",28,6.453999996,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,"0.178061873",2017
"Guatemala",29,6.453999996,0.872001946,1.255585194,0.54023999,0.531310618,0.283488393,"0.077223279",2017
"Panama",30,6.452000141,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,"0.070983924",2017
"France",31,6.441999912,1.430923462,1.387776852,0.844465852,0.470222116,0.129762307,"0.172502428",2017
"Thailand",32,6.423999786,1.127868772,1.425792456,0.647239029,0.580200732,0.57212311,"0.031612735",2017
"Taiwan Province of China",33,6.421999931,1.433626533,1.384565353,0.793984234,0.361466587,0.258360475,"0.063829236",2017
"Spain",34,6.402999878,1.384397864,1.532090902,0.8889606,0.40878123,0.190133572,"0.070914097",2017
"Qatar",35,6.375,1.870765686,1.27429688,0.710098088,0.604130983,0.33047387,"0.439299256",2017
"Colombia",36,6.356999874,1.070622325,1.402182937,0.595027924,0.477487415,0.149014473,"0.046668742",2017
"Saudi Arabia",37,6.343999863,1.530623555,1.286677599,0.59014833,0.449750572,0.147616014,"0.273432255",2017
"Trinidad and Tobago",38,6.168000221,1.361355901,1.380228519,0.519983292,0.518630743,0.325296462,"0.008964816",2017
"Kuwait",39,6.105000019,1.632952452,1.259698749,0.632105708,0.496337593,0.228289798,"0.21515955",2017
"Slovakia",40,6.09800005,1.325393558,1.505059242,0.712732911,0.295817465,0.136544481,"0.024210852",2017
"Bahrain",41,6.086999893,1.488412261,1.323110461,0.653133035,0.536746919,0.172668487,"0.25704217",2017
"Malaysia",42,6.084000111,1.29121542,1.284646034,0.618784428,0.402264982,0.41660893,"0.065600708",2017
"Nicaragua",43,6.071000099,0.737299204,1.28721571,0.653095961,0.447551847,0.301674217,"0.130687982",2017
"Ecuador",44,6.007999897,1.000820398,1.286168814,0.685636222,0.455198199,0.150112465,"0.140134647",2017
"El Salvador",45,6.002999783,0.909784496,1.182125092,0.596018553,0.43245253,0.078257985,"0.08998096",2017
"Poland",46,5.97300005,1.291787863,1.44571197,0.699475348,0.520342112,0.158465967,"0.059307806",2017
"Uzbekistan",47,5.971000195,0.786441088,1.54896915,0.498272628,0.658248663,0.415983647,"0.246528223",2017
"Italy",48,5.964000225,1.395066619,1.444923282,0.853144348,0.256450713,0.172789648,"0.028028091",2017
"Russia",49,5.962999821,1.281778097,1.469282389,0.547349334,0.373783112,0.052263822,"0.032962881",2017
"Belize",50,5.955999851,0.907975316,1.081417799,0.450191766,0.547509372,0.240015641,"0.096581072",2017
"Japan",51,5.920000076,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,"0.163760737",2017
"Lithuania",52,5.90199995,1.314582348,1.473516107,0.62894994,0.234231785,0.010164657,"0.011865643",2017
"Algeria",53,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.069436647,"0.14609611",2017
"Latvia",54,5.849999905,1.260748625,1.404714942,0.638566971,0.325707912,0.153074786,"0.073842727",2017
"South Korea",55,5.837999821,1.401678443,1.128274441,0.900214076,0.257921666,0.206674367,"0.063282669",2017
"Moldova",56,5.837999821,0.72887063,1.251825571,0.589465201,0.240729049,0.208779126,"0.010091286",2017
"Romania",57,5.824999809,1.217683911,1.15009129,0.685158312,0.457003742,0.133519918,"0.004387901",2017
"Bolivia",58,5.822999954,0.833756566,1.227619052,0.47363025,0.558732927,0.225560725,"0.060477726",2017
"Turkmenistan",59,5.822000027,1.130776763,1.493149161,0.43772608,0.418271929,0.249924988,"0.25927034",2017
"Kazakhstan",60,5.818999767,1.28455627,1.384369016,0.606041551,0.437454283,0.201964423,"0.119282886",2017
"North Cyprus",61,5.809999943,1.346911311,1.186303377,0.834647238,0.471203625,0.266845703,"0.155353352",2017
"Slovenia",62,5.757999897,1.341205955,1.452518821,0.790828228,0.572575808,0.242649093,"0.045128979",2017
"Peru",63,5.715000153,1.035225272,1.218770385,0.630166113,0.450002879,0.126819715,"0.047049087",2017
"Mauritius",64,5.629000187,1.189395547,1.20956099,0.638007462,0.491247326,0.360933751,"0.042181555",2017
"Cyprus",65,5.620999813,1.355938077,1.131363273,0.844714701,0.355111539,0.271254301,"0.041237976",2017
"Estonia",66,5.611000061,1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,"0.183248922",2017
"Belarus",67,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.155137509,"0.156313822",2017
"Libya",68,5.525000095,1.101803064,1.35756433,0.52016902,0.46573323,0.152073666,"0.09261021",2017
"Turkey",69,5.5,1.198274374,1.337753177,0.637605608,0.3007406,0.046693042,"0.09967158",2017
"Paraguay",70,5.493000031,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,"0.091065913",2017
"Hong Kong S.A.R., China",71,5.472000122,1.551674843,1.262790918,0.943062425,0.490968645,0.374465793,"0.293933749",2017
"Philippines",72,5.429999828,0.857699215,1.253917575,0.468009055,0.585214674,0.193513423,"0.099331893",2017
"Serbia",73,5.394999981,1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,"0.040903781",2017
"Jordan",74,5.335999966,0.991012394,1.239088893,0.604590058,0.418421149,0.17217046,"0.119803272",2017
"Hungary",75,5.323999882,1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,"0.036636937",2017
"Jamaica",76,5.31099987,0.925579309,1.368218064,0.641022384,0.474307239,0.233818337,"0.055267781",2017
"Croatia",77,5.293000221,1.222556233,0.967983007,0.701288521,0.255772293,0.248002976,"0.04310311",2017
"Kosovo",78,5.278999805,0.951484382,1.137853503,0.54145205,0.260287941,0.319931448,"0.057471618",2017
"China",79,5.272999763,1.081165791,1.160837412,0.741415501,0.472787708,0.028806841,"0.022794275",2017
"Pakistan",80,5.269000053,0.726883531,0.67269069,0.402047783,0.235215262,0.315446019,"0.124348067",2017
"Indonesia",81,5.262000084,0.995538592,1.274444699,0.492345721,0.443323463,0.611704588,"0.015317135",2017
"Venezuela",82,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,"0.064491123",2017
"Montenegro",83,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,"0.088174194",2017
"Morocco",84,5.235000134,0.878114581,0.774864435,0.597710669,0.408158332,0.032209955,"0.087763183",2017
"Azerbaijan",85,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.04526934,"0.180987507",2017
"Dominican Republic",86,5.230000019,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,"0.113945253",2017
"Greece",87,5.227000237,1.289487481,1.239414573,0.810198903,0.095731251,0,"0.043289777",2017
"Lebanon",88,5.224999905,1.074987531,1.129624248,0.735081077,0.288515985,0.264450759,"0.03751383",2017
"Portugal",89,5.195000172,1.315175295,1.367043018,0.795843542,0.4984653,0.095102713,"0.015869452",2017
"Bosnia and Herzegovina",90,5.18200016,0.982409418,1.069335938,0.705186307,0.204403177,0.328867495,"0",2017
"Honduras",91,5.181000233,0.730573118,1.143944979,0.58256948,0.34807986,0.236188874,"0.073345453",2017
"Macedonia",92,5.175000191,1.064577937,1.207893014,0.644948184,0.325905979,0.253760964,"0.060277794",2017
"Somalia",93,5.151000023,0.022643184,0.721151352,0.113989137,0.602126956,0.291631311,"0.282410324",2017
"Vietnam",94,5.073999882,0.788547575,1.277491331,0.652168989,0.571055591,0.234968051,"0.087633237",2017
"Nigeria",95,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.230947196,"0.026121566",2017
"Tajikistan",96,5.040999889,0.524713635,1.271463275,0.529235125,0.471566707,0.248997644,"0.146377146",2017
"Bhutan",97,5.011000156,0.885416389,1.340126514,0.495879292,0.501537681,0.474054545,"0.17338039",2017
"Kyrgyzstan",98,5.004000187,0.596220076,1.394238591,0.553457797,0.454943389,0.428580374,"0.039439179",2017
"Nepal",99,4.961999893,0.479820192,1.179283261,0.504130781,0.440305948,0.394096166,"0.072975546",2017
"Mongolia",100,4.954999924,1.027235866,1.493011236,0.557783484,0.394143969,0.33846423,"0.032902289",2017
"South Africa",101,4.828999996,1.054698706,1.384788632,0.18708007,0.479246736,0.13936238,"0.072509497",2017
"Tunisia",102,4.804999828,1.007265806,0.86835146,0.613212049,0.28968069,0.049693357,"0.086723149",2017
"Palestinian Territories",103,4.775000095,0.716249228,1.155647159,0.565666974,0.254711062,0.114173174,"0.089282602",2017
"Egypt",104,4.735000134,0.989701807,0.997471392,0.520187259,0.282110155,0.128631443,"0.114381365",2017
"Bulgaria",105,4.714000225,1.161459088,1.434379458,0.70821768,0.289231718,0.113177694,"0.011051531",2017
"Sierra Leone",106,4.709000111,0.368420929,0.984136045,0.005564754,0.318697691,0.293040901,"0.071095176",2017
"Cameroon",107,4.695000172,0.564305365,0.946018219,0.132892117,0.430388749,0.236298457,"0.051306631",2017
"Iran",108,4.691999912,1.156873107,0.711551249,0.639333189,0.249322608,0.387242913,"0.048761073",2017
"Albania",109,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.201312944,"0.039864216",2017
"Bangladesh",110,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.172255352,"0.123717859",2017
"Namibia",111,4.573999882,0.964434326,1.098470807,0.338611811,0.520303547,0.077133745,"0.093146972",2017
"Kenya",112,4.552999973,0.560479462,1.067950726,0.30998835,0.452763766,0.444860309,"0.064641319",2017
"Mozambique",113,4.550000191,0.23430565,0.870701015,0.106654435,0.480791092,0.322228104,"0.179436386",2017
"Myanmar",114,4.545000076,0.36711055,1.123235941,0.397522569,0.514492035,0.838075161,"0.188816205",2017
"Senegal",115,4.534999847,0.479309022,1.179691911,0.409362853,0.377922267,0.183468893,"0.115460448",2017
"Zambia",116,4.513999939,0.636406779,1.003187299,0.257835895,0.461603492,0.249580145,"0.07821355",2017
"Iraq",117,4.497000217,1.102710485,0.978613198,0.50118047,0.288555533,0.199637264,"0.107215755",2017
"Gabon",118,4.465000153,1.198210239,1.155620217,0.356578588,0.312328577,0.043785378,"0.076046787",2017
"Ethiopia",119,4.460000038,0.339233845,0.864669204,0.353409708,0.408842742,0.31265074,"0.165455714",2017
"Sri Lanka",120,4.440000057,1.009850144,1.259976387,0.625130832,0.561213255,0.490863562,"0.073653966",2017
"Armenia",121,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,"0.026674422",2017
"India",122,4.315000057,0.792221248,0.754372597,0.455427617,0.469987005,0.231538489,"0.092226885",2017
"Mauritania",123,4.291999817,0.648457289,1.27203083,0.28534928,0.096098043,0.201870024,"0.136957005",2017
"Congo (Brazzaville)",124,4.290999889,0.808964252,0.832044363,0.289957434,0.435025871,0.120852128,"0.079618134",2017
"Georgia",125,4.285999775,0.950612664,0.570614934,0.649546981,0.309410036,0.054008815,"0.251666635",2017
"Congo (Kinshasa)",126,4.28000021,0.092102349,1.229023457,0.191407025,0.235961348,0.246455833,"0.060241356",2017
"Mali",127,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,"0.104970247",2017
"Ivory Coast",128,4.179999828,0.603048921,0.90478003,0.04864217,0.447706193,0.20123747,"0.130061775",2017
"Cambodia",129,4.168000221,0.601765096,1.006238341,0.429783404,0.633375823,0.385922968,"0.068105951",2017
"Sudan",130,4.138999939,0.659516692,1.21400857,0.290920824,0.014995855,0.182317451,"0.08984752",2017
"Ghana",131,4.119999886,0.667224824,0.873664737,0.295637727,0.423026294,0.256923944,"0.02533637",2017
"Ukraine",132,4.096000195,0.894651949,1.394537568,0.575903952,0.122974776,0.270061463,"0.023029471",2017
"Uganda",133,4.080999851,0.381430715,1.129827738,0.217632607,0.443185955,0.325766057,"0.057069719",2017
"Burkina Faso",134,4.032000065,0.350227714,1.043280005,0.215844259,0.324367851,0.250864685,"0.120328106",2017
"Niger",135,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.228673846,"0.138572946",2017
"Malawi",136,3.970000029,0.233442038,0.512568831,0.315089583,0.466914654,0.28717047,"0.072711654",2017
"Chad",137,3.936000109,0.438012987,0.953855872,0.041134715,0.162342027,0.21611385,"0.053581882",2017
"Zimbabwe",138,3.875,0.375846535,1.083095908,0.196763754,0.336384207,0.189143494,"0.095375381",2017
"Lesotho",139,3.808000088,0.521021247,1.190095186,0,0.390661299,0.157497272,"0.11909464",2017
"Angola",140,3.795000076,0.85842818,1.10441196,0.049868666,0,0.09792649,"0.069720335",2017
"Afghanistan",141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,"0.06115783",2017
"Botswana",142,3.766000032,1.122094154,1.221554995,0.341755509,0.505196333,0.099348448,"0.098583199",2017
"Benin",143,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,"0.060929015",2017
"Madagascar",144,3.644000053,0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,"0.067231975",2017
"Haiti",145,3.602999926,0.368610263,0.640449822,0.27732113,0.030369857,0.489203781,"0.09987215",2017
"Yemen",146,3.592999935,0.591683447,0.935382247,0.310080916,0.249463722,0.104125209,"0.056767423",2017
"South Sudan",147,3.59100008,0.397248626,0.601323128,0.163486004,0.147062436,0.285670817,"0.116793513",2017
"Liberia",148,3.532999992,0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,"0.038948249",2017
"Guinea",149,3.506999969,0.24454993,0.791244686,0.194129139,0.348587513,0.264815092,"0.110937618",2017
"Togo",150,3.494999886,0.305444717,0.43188253,0.247105569,0.380426139,0.196896151,"0.095665015",2017
"Rwanda",151,3.470999956,0.368745893,0.945707023,0.326424807,0.581843853,0.252756029,"0.455220014",2017
"Syria",152,3.461999893,0.777153134,0.396102607,0.500533342,0.081539445,0.493663728,"0.151347131",2017
"Tanzania",153,3.348999977,0.511135876,1.041989803,0.364509284,0.390017778,0.354256362,"0.066035107",2017
"Burundi",154,2.904999971,0.091622569,0.629793584,0.151610792,0.059900753,0.204435185,"0.084147945",2017
"Central African Republic",155,2.693000078,0,0,0.018772686,0.270842046,0.280876487,"0.056565076",2017
"Finland",1,7.632,1.305,1.592,0.874,0.681,0.202,"0.393",2018
"Norway",2,7.594,1.456,1.582,0.861,0.686,0.286,"0.34",2018
"Denmark",3,7.555,1.351,1.59,0.868,0.683,0.284,"0.408",2018
"Iceland",4,7.495,1.343,1.644,0.914,0.677,0.353,"0.138",2018
"Switzerland",5,7.487,1.42,1.549,0.927,0.66,0.256,"0.357",2018
"Netherlands",6,7.441,1.361,1.488,0.878,0.638,0.333,"0.295",2018
"Canada",7,7.328,1.33,1.532,0.896,0.653,0.321,"0.291",2018
"New Zealand",8,7.324,1.268,1.601,0.876,0.669,0.365,"0.389",2018
"Sweden",9,7.314,1.355,1.501,0.913,0.659,0.285,"0.383",2018
"Australia",10,7.272,1.34,1.573,0.91,0.647,0.361,"0.302",2018
"United Kingdom",11,7.19,1.244,1.433,0.888,0.464,0.262,"0.082",2018
"Austria",12,7.139,1.341,1.504,0.891,0.617,0.242,"0.224",2018
"Costa Rica",13,7.072,1.01,1.459,0.817,0.632,0.143,"0.101",2018
"Ireland",14,6.977,1.448,1.583,0.876,0.614,0.307,"0.306",2018
"Germany",15,6.965,1.34,1.474,0.861,0.586,0.273,"0.28",2018
"Belgium",16,6.927,1.324,1.483,0.894,0.583,0.188,"0.24",2018
"Luxembourg",17,6.91,1.576,1.52,0.896,0.632,0.196,"0.321",2018
"United States",18,6.886,1.398,1.471,0.819,0.547,0.291,"0.133",2018
"Israel",19,6.814,1.301,1.559,0.883,0.533,0.354,"0.272",2018
"United Arab Emirates",20,6.774,2.096,0.776,0.67,0.284,0.186,"N/A",2018
"Czech Republic",21,6.711,1.233,1.489,0.854,0.543,0.064,"0.034",2018
"Malta",22,6.627,1.27,1.525,0.884,0.645,0.376,"0.142",2018
"France",23,6.489,1.293,1.466,0.908,0.52,0.098,"0.176",2018
"Mexico",24,6.488,1.038,1.252,0.761,0.479,0.069,"0.095",2018
"Chile",25,6.476,1.131,1.331,0.808,0.431,0.197,"0.061",2018
